,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20180810,002700.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,366.67,1.03,220.03,0.62,146.65
1,20180810,002774.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,310.03,1.75,63.95,0.36,246.08
2,20180810,002881.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,435.25,2.35,92.0,0.5,343.25
3,20180810,002909.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,227.5,0.62,647.82,1.77,-420.32
4,20180810,002915.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,183.18,0.71,304.13,1.18,-120.95
5,20180810,002932.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,475.18,1.05,533.4,1.17,-58.23
7,20180813,002622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,63.7,1.58,68.08,1.69,-4.38
8,20180813,002700.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,343.14,0.94,403.54,1.11,-60.41
10,20180813,002881.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,160.12,0.63,458.57,1.81,-298.44
12,20180813,002932.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,383.62,1.04,342.66,0.93,40.96
14,20180813,300745.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,362.14,0.88,330.64,0.8,31.5
15,20180814,002006.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,365.53,1.03,219.74,0.62,145.79
16,20180814,002922.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,221.06,0.99,127.75,0.57,93.3
17,20180814,002932.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,768.39,1.34,606.62,1.06,161.76
19,20180814,300312.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,348.4,0.68,198.43,0.39,149.97
20,20180814,300647.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,514.92,0.73,365.67,0.52,149.25
21,20180814,300745.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,499.59,1.09,300.92,0.65,198.67
22,20180814,603105.SH,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,1683.74,0.94,0.0,0.0,1683.74
23,20180814,603105.SH,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,0.0,0.0,1514.55,0.84,-1514.55
24,20180814,603657.SH,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,1124.37,1.49,0.0,0.0,1124.37
25,20180814,603657.SH,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,0.0,0.0,733.42,0.97,-733.42
26,20180814,603713.SH,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,804.99,0.83,0.0,0.0,804.99
27,20180814,603713.SH,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,0.0,0.0,831.29,0.85,-831.29
28,20180815,000509.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,217.86,0.64,296.5,0.87,-78.64
29,20180815,002270.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,263.44,1.24,158.98,0.75,104.46
30,20180815,002915.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,288.39,1.31,230.58,1.05,57.82
